Hyper-parameters:

  batch_size   16
  optimizer  adam
  lr           0.005
  lr_decrease_epoch 20
  lr_decrease_by    0.01


processing train1:

Epoch 48, train loss = 0.505, valid loss = 0.489, time 0m 5s
Epoch 49, train loss = 0.499, valid loss = 0.480, time 0m 5s
Epoch 50, train loss = 0.495, valid loss = 0.485, time 0m 5s
Epoch 51, train loss = 0.501, valid loss = 0.482, time 0m 5s
Epoch 52, train loss = 0.506, valid loss = 0.485, time 0m 5s
Epoch 53, train loss = 0.506, valid loss = 0.482, time 0m 5s
Epoch 54, train loss = 0.509, valid loss = 0.484, time 0m 5s
Epoch 55, train loss = 0.502, valid loss = 0.482, time 0m 5s
Epoch 56, train loss = 0.508, valid loss = 0.483, time 0m 5s
Epoch 57, train loss = 0.501, valid loss = 0.482, time 0m 5s
Epoch 58, train loss = 0.512, valid loss = 0.484, time 0m 5s
Epoch 59, train loss = 0.508, valid loss = 0.484, time 0m 5s
Epoch 60, train loss = 0.506, valid loss = 0.482, time 0m 5s
Epoch 61, train loss = 0.502, valid loss = 0.482, time 0m 5s
Epoch 62, train loss = 0.498, valid loss = 0.483, time 0m 6s
Epoch 63, train loss = 0.504, valid loss = 0.489, time 0m 6s
Epoch 64, train loss = 0.513, valid loss = 0.494, time 0m 6s
Epoch 65, train loss = 0.507, valid loss = 0.487, time 0m 6s
Epoch 66, train loss = 0.501, valid loss = 0.487, time 0m 6s
Epoch 67, train loss = 0.506, valid loss = 0.486, time 0m 6s
Epoch 68, train loss = 0.514, valid loss = 0.491, time 0m 6s
Epoch 69, train loss = 0.503, valid loss = 0.490, time 0m 6s
Epoch 70, train loss = 0.510, valid loss = 0.484, time 0m 6s
Epoch 71, train loss = 0.501, valid loss = 0.483, time 0m 6s
Epoch 72, train loss = 0.508, valid loss = 0.484, time 0m 6s
Epoch 73, train loss = 0.503, valid loss = 0.489, time 0m 6s
Epoch 74, train loss = 0.497, valid loss = 0.489, time 0m 6s
Epoch 75, train loss = 0.504, valid loss = 0.493, time 0m 6s
Epoch 76, train loss = 0.502, valid loss = 0.490, time 0m 6s
Epoch 77, train loss = 0.514, valid loss = 0.491, time 0m 6s
Epoch 78, train loss = 0.501, valid loss = 0.490, time 0m 6s
Epoch 79, train loss = 0.503, valid loss = 0.488, time 0m 6s
Epoch 80, train loss = 0.511, valid loss = 0.493, time 0m 6s

Select best Epoch:
Epoch 20, train loss = 0.511, valid loss = 0.494, Spearmanr = -0.81
Epoch 40, train loss = 0.520, valid loss = 0.489, Spearmanr = -0.46
Epoch 60, train loss = 0.506, valid loss = 0.482, Spearmanr = -0.62
Epoch 80, train loss = 0.511, valid loss = 0.493, Spearmanr = 0.43
Final Epoch: 60

valid for train2:
  tp=100, tn=48, fp=28, fn=21
  se=0.8264, sp=0.6316, acc=0.7513, mcc=0.467, auc=0.807


processing train3:

Epoch 1, train loss = 0.621, valid loss = 0.559, time 0m 6s
Epoch 2, train loss = 0.546, valid loss = 0.538, time 0m 7s
Epoch 3, train loss = 0.545, valid loss = 0.531, time 0m 7s
Epoch 4, train loss = 0.521, valid loss = 0.526, time 0m 7s
Epoch 5, train loss = 0.543, valid loss = 0.524, time 0m 7s
Epoch 6, train loss = 0.535, valid loss = 0.530, time 0m 7s
Epoch 7, train loss = 0.540, valid loss = 0.522, time 0m 7s
Epoch 8, train loss = 0.530, valid loss = 0.514, time 0m 7s
Epoch 9, train loss = 0.520, valid loss = 0.517, time 0m 7s
Epoch 10, train loss = 0.519, valid loss = 0.515, time 0m 7s
Epoch 11, train loss = 0.530, valid loss = 0.516, time 0m 7s
Epoch 12, train loss = 0.524, valid loss = 0.509, time 0m 7s
Epoch 13, train loss = 0.513, valid loss = 0.502, time 0m 7s
Epoch 14, train loss = 0.514, valid loss = 0.504, time 0m 7s
Epoch 15, train loss = 0.521, valid loss = 0.504, time 0m 7s
Epoch 16, train loss = 0.527, valid loss = 0.502, time 0m 7s
Epoch 17, train loss = 0.521, valid loss = 0.499, time 0m 7s
Epoch 18, train loss = 0.508, valid loss = 0.499, time 0m 7s
Epoch 19, train loss = 0.512, valid loss = 0.499, time 0m 7s
Epoch 20, train loss = 0.505, valid loss = 0.501, time 0m 7s
Epoch 21, train loss = 0.515, valid loss = 0.501, time 0m 7s
Epoch 22, train loss = 0.507, valid loss = 0.500, time 0m 7s
Epoch 23, train loss = 0.511, valid loss = 0.497, time 0m 8s
Epoch 24, train loss = 0.517, valid loss = 0.498, time 0m 8s
Epoch 25, train loss = 0.517, valid loss = 0.498, time 0m 8s
Epoch 26, train loss = 0.511, valid loss = 0.496, time 0m 8s
Epoch 27, train loss = 0.520, valid loss = 0.498, time 0m 8s
Epoch 28, train loss = 0.504, valid loss = 0.491, time 0m 8s
Epoch 29, train loss = 0.507, valid loss = 0.494, time 0m 8s
Epoch 30, train loss = 0.503, valid loss = 0.489, time 0m 8s
Epoch 31, train loss = 0.501, valid loss = 0.488, time 0m 8s
Epoch 32, train loss = 0.506, valid loss = 0.494, time 0m 8s
Epoch 33, train loss = 0.505, valid loss = 0.492, time 0m 8s
Epoch 34, train loss = 0.516, valid loss = 0.492, time 0m 8s
Epoch 35, train loss = 0.524, valid loss = 0.491, time 0m 8s
Epoch 36, train loss = 0.509, valid loss = 0.489, time 0m 8s
Epoch 37, train loss = 0.518, valid loss = 0.492, time 0m 8s
Epoch 38, train loss = 0.501, valid loss = 0.494, time 0m 8s
Epoch 39, train loss = 0.510, valid loss = 0.493, time 0m 8s
Epoch 40, train loss = 0.508, valid loss = 0.487, time 0m 8s
Epoch 41, train loss = 0.508, valid loss = 0.490, time 0m 8s
Epoch 42, train loss = 0.502, valid loss = 0.488, time 0m 8s
Epoch 43, train loss = 0.508, valid loss = 0.484, time 0m 9s
Epoch 44, train loss = 0.506, valid loss = 0.485, time 0m 9s
Epoch 45, train loss = 0.511, valid loss = 0.486, time 0m 9s
