  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.509            1      449.796       55.633      192.843
        1        0.891        5.530            1      443.169       57.214      196.771
        2        0.754        5.507            1      451.232       73.634      191.563
        3        0.745        5.530            1      449.667       82.409      192.259
        4        0.810        5.594            1      450.744       72.808      190.612
        5        0.491        5.577            1      451.647       82.778      189.751
        6        0.787        5.558            1      450.568      104.643      190.447
        7        0.736        5.550            1      450.659       95.231      192.202
        8        0.772        5.602            1      451.979      105.852      188.088
        9        1.074        5.524            1      446.641       74.757      192.749
       10        0.934        5.591            1      451.652       68.560      190.438
       11        1.053        5.622            1      451.389       95.429      189.955
       12        0.960        5.592            1      449.607       84.629      189.031
       13        0.744        5.502            1      447.115       72.717      190.926
       14        0.396        5.492            0      446.847       87.430      188.532
       15        0.557        5.419            0      449.644       96.889      187.823
       16        0.611        5.597            1      450.541      121.992      190.967
       17        0.633        5.319            1      443.958       60.656      182.603
       18        0.796        5.584            1      449.117       85.483      195.346
       19        0.662        5.474            1      445.360       85.525      190.779
       20        0.791        5.475            1      447.719       94.433      192.812
       21        0.690        5.500            1      446.323       94.273      194.355
       22        0.672        5.527            1      447.344       97.625      187.671
       23        0.540        5.507            1      450.169       94.638      190.479
       24        0.678        5.514            1      447.430       89.533      193.113
       25        0.579        5.537            1      448.298      113.044      184.682
       26        0.671        5.563            1      447.392      131.346      190.554
       27        0.941        5.511            1      446.936       90.659      188.767
       28        0.695        5.543            1      446.604       73.785      187.054
       29        0.766        5.498            1      448.595       89.283      189.086
       30        0.760        5.521            1      451.829       66.209      194.697
       31        0.976        5.587            1      451.621      114.512      195.598
       32        0.909        5.497            1      449.751       79.790      187.655
       33        0.813        5.553            1      448.691      100.048      196.416
       34        0.538        5.582            1      450.122       89.583      190.891
       35        0.586        5.484            1      450.724       92.347      184.558
       36        0.554        5.491            1      450.632      120.034      188.994
       37        0.453        5.543            1      452.144       77.375      190.627
       38        0.618        5.441            1      451.460      132.651      195.098
       39        0.497        5.486            1      449.248       79.132      194.439
       40        0.557        5.467            1      450.428       72.743      192.065
       41        0.423        5.533            1      448.923       91.178      189.032
       42        0.529        5.547            1      451.455       78.831      186.485
       43        0.632        5.508            1      449.141       70.614      187.509
       44        0.480        5.474            1      448.863       88.342      192.085
       45        0.777        5.403            1      446.054       77.154      191.389
       46        0.757        5.365            1      446.146       93.610      183.099
       47        0.648        5.360            1      447.673      102.047      183.895
       48        0.697        5.506            1      452.192       81.496      188.494
       49        0.893        5.319            1      446.735       82.996      189.752
       50        0.854        5.434            1      452.321       78.390      192.764
       51        0.914        5.432            1      449.578       75.129      194.703
       52        0.882        5.528            1      450.612       77.239      185.964
       53        0.757        5.350            1      442.903       68.468      196.734
       54        0.825        5.442            1      449.585       61.851      184.677
       55        0.781        5.495            1      448.375       72.928      193.689
       56        0.945        5.435            1      448.435       72.322      189.012
       57        0.724        5.472            1      449.848       65.645      189.476
       58        0.967        5.479            1      451.519       52.601      193.044
       59        0.870        5.543            1      449.737       88.724      188.744
       60        0.974        5.539            1      450.772       64.165      188.218
       61        0.864        5.577            1      452.065       63.252      192.294
       62        0.774        5.446            1      446.398       81.737      189.367
       63        0.881        5.522            1      450.667       78.594      189.813
       64        0.937        5.393            1      447.022       75.060      193.694
       65        0.875        5.479            1      449.514       67.569      190.562
       66        0.788        5.495            1      449.249       72.374      189.245
       67        0.703        5.506            1      449.585       89.898      191.773
       68        0.731        5.522            1      450.107       90.035      190.336
       69        0.812        5.442            1      448.896       74.915      195.335
       70        0.902        5.448            1      451.569       60.716      191.103
       71        0.812        5.407            1      448.905       55.193      189.026
       72        0.824        5.379            1      450.411       84.518      194.888
       73        0.786        5.522            1      447.581       82.690      186.209
       74        0.764        5.410            1      451.876       87.323      189.794
       75        0.829        5.475            1      452.076       85.672      194.708
       76        0.825        5.448            1      447.404      107.905      188.401
       77        1.082        5.449            1      448.147      103.727      182.438
       78        1.004        5.499            1      450.801       72.228      191.453
       79        0.947        5.483            1      449.880       77.708      185.146
       80        0.939        5.560            1      452.326       60.974      191.023
       81        0.955        5.467            1      449.478       60.287      193.015
