   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   4.444        3.899
         2                   3.521        2.940
         3                   2.491        1.894
         4                   1.548        0.820
         5                   1.611        0.790
         6                   1.123        0.478
         7                   1.339        0.667
         8                   1.999        1.774
         9                   1.855        1.559
        10                   2.225        1.658
        11                   1.447        1.473
        12                   1.365        1.449
        13                   0.889        0.440
        14                   0.829        0.579
        15                   0.747        0.519
        16                   0.810        0.656
        17                   0.755        0.570
        18                   0.675        0.394
        19                   0.672        0.337
        20                   0.789        0.540
        21                   0.833        0.537
        22                   0.739        0.347
        23                   0.818        0.437
        24                   1.193        1.027
        25                   0.965        0.582
        26                   1.077        0.722
        27                   1.266        1.045
        28                   1.185        0.978
        29                   0.753        0.378
        30                   0.732        0.356
        31                   0.935        0.608
        32                   0.996        0.527
        33                   1.278        0.855
        34                   1.521        0.943
        35                   1.473        0.748
        36                   1.516        0.959
        37                   1.267        0.885
        38                   0.810        0.660
        39                   0.817        0.673
