processing 580: epoch 1, 580 / 13496, avg loss = 41.258, valid = 27.34%, unique = 27.34%, time 1h 30m 35s
processing 590: epoch 1, 590 / 13496, avg loss = 41.651, valid = 30.78%, unique = 30.78%, time 1h 32m 7s
processing 600: epoch 1, 600 / 13496, avg loss = 40.785, valid = 24.22%, unique = 24.22%, time 1h 33m 41s
processing 610: epoch 1, 610 / 13496, avg loss = 41.196, valid = 27.03%, unique = 27.03%, time 1h 35m 14s
processing 620: epoch 1, 620 / 13496, avg loss = 40.112, valid = 29.77%, unique = 29.77%, time 1h 36m 44s
processing 630: epoch 1, 630 / 13496, avg loss = 40.467, valid = 30.86%, unique = 30.78%, time 1h 38m 18s
processing 640: epoch 1, 640 / 13496, avg loss = 39.997, valid = 32.27%, unique = 32.19%, time 1h 39m 51s
processing 650: epoch 1, 650 / 13496, avg loss = 40.910, valid = 39.61%, unique = 39.61%, time 1h 41m 23s
processing 660: epoch 1, 660 / 13496, avg loss = 41.234, valid = 35.55%, unique = 35.55%, time 1h 42m 57s
processing 670: epoch 1, 670 / 13496, avg loss = 40.138, valid = 28.75%, unique = 28.75%, time 1h 44m 31s
processing 680: epoch 1, 680 / 13496, avg loss = 39.352, valid = 28.83%, unique = 28.83%, time 1h 46m 4s
processing 690: epoch 1, 690 / 13496, avg loss = 40.335, valid = 34.38%, unique = 34.30%, time 1h 47m 37s
processing 700: epoch 1, 700 / 13496, avg loss = 40.144, valid = 28.59%, unique = 28.59%, time 1h 49m 12s
processing 710: epoch 1, 710 / 13496, avg loss = 39.524, valid = 36.95%, unique = 36.88%, time 1h 50m 44s
processing 720: epoch 1, 720 / 13496, avg loss = 39.201, valid = 30.55%, unique = 30.55%, time 1h 52m 17s
processing 730: epoch 1, 730 / 13496, avg loss = 39.774, valid = 34.92%, unique = 34.92%, time 1h 53m 50s
processing 740: epoch 1, 740 / 13496, avg loss = 39.496, valid = 35.39%, unique = 35.39%, time 1h 55m 23s
processing 750: epoch 1, 750 / 13496, avg loss = 38.797, valid = 34.30%, unique = 34.30%, time 1h 56m 57s
processing 760: epoch 1, 760 / 13496, avg loss = 38.937, valid = 38.75%, unique = 38.75%, time 1h 58m 29s
processing 770: epoch 1, 770 / 13496, avg loss = 38.451, valid = 37.66%, unique = 37.66%, time 2h 0m 0s
processing 780: epoch 1, 780 / 13496, avg loss = 39.348, valid = 39.69%, unique = 39.61%, time 2h 1m 32s
processing 790: epoch 1, 790 / 13496, avg loss = 39.420, valid = 38.67%, unique = 38.67%, time 2h 3m 5s
processing 800: epoch 1, 800 / 13496, avg loss = 39.232, valid = 41.56%, unique = 41.56%, time 2h 4m 36s
processing 810: epoch 1, 810 / 13496, avg loss = 38.271, valid = 37.81%, unique = 37.81%, time 2h 6m 12s
processing 820: epoch 1, 820 / 13496, avg loss = 38.569, valid = 39.61%, unique = 39.61%, time 2h 7m 45s
processing 830: epoch 1, 830 / 13496, avg loss = 39.350, valid = 43.28%, unique = 43.28%, time 2h 9m 17s
processing 840: epoch 1, 840 / 13496, avg loss = 38.956, valid = 44.38%, unique = 44.38%, time 2h 10m 50s
processing 850: epoch 1, 850 / 13496, avg loss = 38.187, valid = 36.48%, unique = 36.48%, time 2h 12m 22s
processing 860: epoch 1, 860 / 13496, avg loss = 38.300, valid = 45.70%, unique = 45.70%, time 2h 13m 54s
processing 870: epoch 1, 870 / 13496, avg loss = 39.080, valid = 40.70%, unique = 40.70%, time 2h 15m 25s
processing 880: epoch 1, 880 / 13496, avg loss = 38.638, valid = 40.16%, unique = 40.16%, time 2h 16m 59s
processing 890: epoch 1, 890 / 13496, avg loss = 38.731, valid = 36.72%, unique = 36.72%, time 2h 18m 32s
processing 900: epoch 1, 900 / 13496, avg loss = 37.725, valid = 49.69%, unique = 49.69%, time 2h 20m 5s
processing 910: epoch 1, 910 / 13496, avg loss = 37.654, valid = 44.92%, unique = 44.92%, time 2h 21m 35s
processing 920: epoch 1, 920 / 13496, avg loss = 38.668, valid = 43.91%, unique = 43.91%, time 2h 23m 10s
processing 930: epoch 1, 930 / 13496, avg loss = 38.073, valid = 45.78%, unique = 45.70%, time 2h 24m 43s
processing 940: epoch 1, 940 / 13496, avg loss = 37.864, valid = 44.77%, unique = 44.77%, time 2h 26m 16s
processing 950: epoch 1, 950 / 13496, avg loss = 37.942, valid = 52.11%, unique = 52.11%, time 2h 27m 48s
processing 960: epoch 1, 960 / 13496, avg loss = 37.180, valid = 44.22%, unique = 44.22%, time 2h 29m 21s
processing 970: epoch 1, 970 / 13496, avg loss = 37.623, valid = 45.16%, unique = 45.16%, time 2h 30m 54s
processing 980: epoch 1, 980 / 13496, avg loss = 37.264, valid = 43.12%, unique = 43.12%, time 2h 32m 25s
processing 990: epoch 1, 990 / 13496, avg loss = 38.500, valid = 48.83%, unique = 48.83%, time 2h 33m 56s
processing 1000: epoch 1, 1000 / 13496, avg loss = 37.674, valid = 47.27%, unique = 47.27%, time 2h 35m 28s
processing 1010: epoch 1, 1010 / 13496, avg loss = 37.880, valid = 47.66%, unique = 47.58%, time 2h 36m 60s
processing 1020: epoch 1, 1020 / 13496, avg loss = 37.540, valid = 45.94%, unique = 45.94%, time 2h 38m 32s
processing 1030: epoch 1, 1030 / 13496, avg loss = 38.365, valid = 52.19%, unique = 52.19%, time 2h 40m 2s
processing 1040: epoch 1, 1040 / 13496, avg loss = 37.484, valid = 41.72%, unique = 41.72%, time 2h 41m 35s
processing 1050: epoch 1, 1050 / 13496, avg loss = 37.622, valid = 43.20%, unique = 43.20%, time 2h 43m 6s
processing 1060: epoch 1, 1060 / 13496, avg loss = 38.012, valid = 49.38%, unique = 49.38%, time 2h 44m 38s
processing 1070: epoch 1, 1070 / 13496, avg loss = 37.641, valid = 45.39%, unique = 45.39%, time 2h 46m 13s
processing 1080: epoch 1, 1080 / 13496, avg loss = 37.355, valid = 49.22%, unique = 49.22%, time 2h 47m 44s
processing 1090: epoch 1, 1090 / 13496, avg loss = 37.333, valid = 57.50%, unique = 57.50%, time 2h 49m 17s
processing 1100: epoch 1, 1100 / 13496, avg loss = 37.357, valid = 49.69%, unique = 49.61%, time 2h 50m 48s
processing 1110: epoch 1, 1110 / 13496, avg loss = 38.030, valid = 51.80%, unique = 51.80%, time 2h 52m 19s
processing 1120: epoch 1, 1120 / 13496, avg loss = 37.090, valid = 49.38%, unique = 49.38%, time 2h 53m 53s
processing 1130: epoch 1, 1130 / 13496, avg loss = 37.492, valid = 57.34%, unique = 57.34%, time 2h 55m 25s
processing 1140: epoch 1, 1140 / 13496, avg loss = 36.240, valid = 55.31%, unique = 55.23%, time 2h 56m 57s
processing 1150: epoch 1, 1150 / 13496, avg loss = 37.802, valid = 46.72%, unique = 46.72%, time 2h 58m 32s
processing 1160: epoch 1, 1160 / 13496, avg loss = 36.958, valid = 55.23%, unique = 55.23%, time 3h 0m 5s
processing 1170: epoch 1, 1170 / 13496, avg loss = 37.525, valid = 48.20%, unique = 48.12%, time 3h 1m 39s
processing 1180: epoch 1, 1180 / 13496, avg loss = 37.194, valid = 58.05%, unique = 58.05%, time 3h 3m 10s
processing 1190: epoch 1, 1190 / 13496, avg loss = 36.633, valid = 49.53%, unique = 49.53%, time 3h 4m 45s
processing 1200: epoch 1, 1200 / 13496, avg loss = 36.984, valid = 60.00%, unique = 59.92%, time 3h 6m 16s
processing 1210: epoch 1, 1210 / 13496, avg loss = 36.937, valid = 53.12%, unique = 53.12%, time 3h 7m 47s
processing 1220: epoch 1, 1220 / 13496, avg loss = 36.575, valid = 51.17%, unique = 51.17%, time 3h 9m 20s
processing 1230: epoch 1, 1230 / 13496, avg loss = 37.089, valid = 53.67%, unique = 53.67%, time 3h 10m 52s
processing 1240: epoch 1, 1240 / 13496, avg loss = 36.048, valid = 53.12%, unique = 53.12%, time 3h 12m 25s
processing 1250: epoch 1, 1250 / 13496, avg loss = 35.978, valid = 56.88%, unique = 56.88%, time 3h 13m 58s
processing 1260: epoch 1, 1260 / 13496, avg loss = 36.496, valid = 57.58%, unique = 57.58%, time 3h 15m 30s
processing 1270: epoch 1, 1270 / 13496, avg loss = 36.887, valid = 53.83%, unique = 53.83%, time 3h 17m 5s
processing 1280: epoch 1, 1280 / 13496, avg loss = 36.628, valid = 58.98%, unique = 58.98%, time 3h 18m 39s
processing 1290: epoch 1, 1290 / 13496, avg loss = 36.071, valid = 54.61%, unique = 54.61%, time 3h 20m 11s
processing 1300: epoch 1, 1300 / 13496, avg loss = 36.781, valid = 59.92%, unique = 59.92%, time 3h 21m 45s
processing 1310: epoch 1, 1310 / 13496, avg loss = 36.652, valid = 57.19%, unique = 57.19%, time 3h 23m 16s
processing 1320: epoch 1, 1320 / 13496, avg loss = 36.844, valid = 43.44%, unique = 43.44%, time 3h 24m 51s
processing 1330: epoch 1, 1330 / 13496, avg loss = 37.230, valid = 58.83%, unique = 58.75%, time 3h 26m 23s
processing 1340: epoch 1, 1340 / 13496, avg loss = 35.948, valid = 56.80%, unique = 56.80%, time 3h 27m 55s
processing 1350: epoch 1, 1350 / 13496, avg loss = 36.360, valid = 60.70%, unique = 60.70%, time 3h 29m 26s
processing 1360: epoch 1, 1360 / 13496, avg loss = 36.427, valid = 59.45%, unique = 59.45%, time 3h 30m 60s
processing 1370: epoch 1, 1370 / 13496, avg loss = 36.405, valid = 52.27%, unique = 52.27%, time 3h 32m 34s
processing 1380: epoch 1, 1380 / 13496, avg loss = 35.923, valid = 51.48%, unique = 51.48%, time 3h 34m 9s
processing 1390: epoch 1, 1390 / 13496, avg loss = 36.301, valid = 63.44%, unique = 63.44%, time 3h 35m 41s
processing 1400: epoch 1, 1400 / 13496, avg loss = 35.512, valid = 59.53%, unique = 59.53%, time 3h 37m 14s
processing 1410: epoch 1, 1410 / 13496, avg loss = 36.220, valid = 54.06%, unique = 54.06%, time 3h 38m 47s
processing 1420: epoch 1, 1420 / 13496, avg loss = 36.463, valid = 53.52%, unique = 53.52%, time 3h 40m 20s
processing 1430: epoch 1, 1430 / 13496, avg loss = 36.091, valid = 62.50%, unique = 62.50%, time 3h 41m 49s
processing 1440: epoch 1, 1440 / 13496, avg loss = 35.672, valid = 56.80%, unique = 56.80%, time 3h 43m 23s
processing 1450: epoch 1, 1450 / 13496, avg loss = 36.639, valid = 58.44%, unique = 58.44%, time 3h 44m 54s
processing 1460: epoch 1, 1460 / 13496, avg loss = 36.055, valid = 60.16%, unique = 60.16%, time 3h 46m 25s
processing 1470: epoch 1, 1470 / 13496, avg loss = 35.740, valid = 53.91%, unique = 53.91%, time 3h 47m 59s
processing 1480: epoch 1, 1480 / 13496, avg loss = 35.558, valid = 55.86%, unique = 55.86%, time 3h 49m 30s
processing 1490: epoch 1, 1490 / 13496, avg loss = 35.578, valid = 61.09%, unique = 61.02%, time 3h 51m 3s
processing 1500: epoch 1, 1500 / 13496, avg loss = 35.448, valid = 58.36%, unique = 58.20%, time 3h 52m 34s
processing 1510: epoch 1, 1510 / 13496, avg loss = 35.164, valid = 62.34%, unique = 62.34%, time 3h 54m 5s
processing 1520: epoch 1, 1520 / 13496, avg loss = 35.777, valid = 53.36%, unique = 53.36%, time 3h 55m 38s
processing 1530: epoch 1, 1530 / 13496, avg loss = 35.077, valid = 58.44%, unique = 58.44%, time 3h 57m 11s
processing 1540: epoch 1, 1540 / 13496, avg loss = 35.732, valid = 61.25%, unique = 61.25%, time 3h 58m 42s
processing 1550: epoch 1, 1550 / 13496, avg loss = 35.252, valid = 56.25%, unique = 56.25%, time 4h 0m 11s
processing 1560: epoch 1, 1560 / 13496, avg loss = 35.402, valid = 62.73%, unique = 62.73%, time 4h 1m 42s
processing 1570: epoch 1, 1570 / 13496, avg loss = 36.139, valid = 55.86%, unique = 55.86%, time 4h 3m 14s
processing 1580: epoch 1, 1580 / 13496, avg loss = 35.705, valid = 54.92%, unique = 54.92%, time 4h 4m 44s
processing 1590: epoch 1, 1590 / 13496, avg loss = 35.579, valid = 56.88%, unique = 56.88%, time 4h 6m 17s
processing 1600: epoch 1, 1600 / 13496, avg loss = 35.873, valid = 61.80%, unique = 61.80%, time 4h 7m 47s
processing 1610: epoch 1, 1610 / 13496, avg loss = 36.157, valid = 61.02%, unique = 61.02%, time 4h 9m 19s
processing 1620: epoch 1, 1620 / 13496, avg loss = 35.054, valid = 63.75%, unique = 63.75%, time 4h 10m 53s
processing 1630: epoch 1, 1630 / 13496, avg loss = 35.177, valid = 61.17%, unique = 61.17%, time 4h 12m 24s
processing 1640: epoch 1, 1640 / 13496, avg loss = 35.824, valid = 59.30%, unique = 59.30%, time 4h 13m 57s
