Pre-generation files: 

  S3a_checked_flatten.csv

Pre-generation compds: 1425

processing: epoch 108, unique 346977, added 2866, time 2h 11m 52s
processing: epoch 109, unique 349799, added 2822, time 2h 13m 37s
processing: epoch 110, unique 352645, added 2846, time 2h 15m 20s
processing: epoch 111, unique 355493, added 2848, time 2h 17m 7s
processing: epoch 112, unique 358410, added 2917, time 2h 18m 54s
processing: epoch 113, unique 361176, added 2766, time 2h 20m 47s
processing: epoch 114, unique 363928, added 2752, time 2h 22m 35s
processing: epoch 115, unique 366829, added 2901, time 2h 24m 20s
processing: epoch 116, unique 369618, added 2789, time 2h 26m 14s
processing: epoch 117, unique 372339, added 2721, time 2h 28m 6s
processing: epoch 118, unique 375141, added 2802, time 2h 29m 57s
processing: epoch 119, unique 377935, added 2794, time 2h 31m 45s
processing: epoch 120, unique 380719, added 2784, time 2h 33m 36s
processing: epoch 121, unique 383618, added 2899, time 2h 35m 23s
processing: epoch 122, unique 386528, added 2910, time 2h 37m 11s
processing: epoch 123, unique 389368, added 2840, time 2h 39m 5s
processing: epoch 124, unique 392170, added 2802, time 2h 40m 57s
processing: epoch 125, unique 394935, added 2765, time 2h 42m 50s
processing: epoch 126, unique 397635, added 2700, time 2h 44m 43s
processing: epoch 127, unique 400469, added 2834, time 2h 46m 40s
processing: epoch 128, unique 403304, added 2835, time 2h 48m 37s
processing: epoch 129, unique 406125, added 2821, time 2h 50m 30s
processing: epoch 130, unique 408927, added 2802, time 2h 52m 30s
processing: epoch 131, unique 411701, added 2774, time 2h 54m 29s
processing: epoch 132, unique 414511, added 2810, time 2h 56m 26s
processing: epoch 133, unique 417358, added 2847, time 2h 58m 24s
processing: epoch 134, unique 420157, added 2799, time 3h 0m 26s
processing: epoch 135, unique 422903, added 2746, time 3h 2m 26s
processing: epoch 136, unique 425666, added 2763, time 3h 4m 25s
processing: epoch 137, unique 428430, added 2764, time 3h 6m 34s
processing: epoch 138, unique 431136, added 2706, time 3h 8m 34s
processing: epoch 139, unique 433850, added 2714, time 3h 10m 43s
processing: epoch 140, unique 436696, added 2846, time 3h 12m 51s
processing: epoch 141, unique 439568, added 2872, time 3h 14m 58s
processing: epoch 142, unique 442295, added 2727, time 3h 17m 2s
processing: epoch 143, unique 445067, added 2772, time 3h 19m 6s
processing: epoch 144, unique 447806, added 2739, time 3h 21m 12s
processing: epoch 145, unique 450546, added 2740, time 3h 23m 15s
processing: epoch 146, unique 453304, added 2758, time 3h 25m 25s
processing: epoch 147, unique 456004, added 2700, time 3h 27m 28s
processing: epoch 148, unique 458727, added 2723, time 3h 29m 37s
processing: epoch 149, unique 461497, added 2770, time 3h 31m 44s
processing: epoch 150, unique 464294, added 2797, time 3h 33m 48s
processing: epoch 151, unique 467075, added 2781, time 3h 35m 56s
processing: epoch 152, unique 469864, added 2789, time 3h 38m 5s
processing: epoch 153, unique 472538, added 2674, time 3h 40m 11s
processing: epoch 154, unique 475245, added 2707, time 3h 42m 17s
processing: epoch 155, unique 477973, added 2728, time 3h 44m 28s
processing: epoch 156, unique 480700, added 2727, time 3h 46m 37s
processing: epoch 157, unique 483432, added 2732, time 3h 48m 45s
processing: epoch 158, unique 486192, added 2760, time 3h 50m 52s
processing: epoch 159, unique 488963, added 2771, time 3h 53m 7s
processing: epoch 160, unique 491626, added 2663, time 3h 55m 19s
processing: epoch 161, unique 494383, added 2757, time 3h 57m 28s
processing: epoch 162, unique 497116, added 2733, time 3h 59m 45s
processing: epoch 163, unique 499856, added 2740, time 4h 1m 53s
processing: epoch 164, unique 502562, added 2706, time 4h 4m 9s
