NO,Name,Aromatic_SMILES,Kekulized_SMILES,InChiKey,target_binary
236,TTK_0511,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nc(-c4cc[nH]n4)cn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NCCC(F)(F)F)=NC(C4=NNC=C4)=CN23)=CC=C1C(=O)NC1CC1,VEGOVTAKFHFCKF-UHFFFAOYSA-N,1
237,TTK_0512,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nc(-c4cn[nH]c4)cn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NCCC(F)(F)F)=NC(C4=CNN=C4)=CN23)=CC=C1C(=O)NC1CC1,FOFJDOUNZAPELM-UHFFFAOYSA-N,1
238,TTK_0513,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nc(C4=CCSCC4)cn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NCCC(F)(F)F)=NC(C4=CCSCC4)=CN23)=CC=C1C(=O)NC1CC1,ISGJRWQDEXXGRI-UHFFFAOYSA-N,1
239,TTK_0515,CC(C)CNc1nc(-c2ccc(CC(N)=O)cc2)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,CC(C)CNC1=NC(C2=CC=C(CC(N)=O)C=C2)=CN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C12,MWDVAWMEQCTDKP-UHFFFAOYSA-N,1
240,TTK_0516,O=C(NC1CC1)c1ccc(-c2cnc3c(NCCCO)nc(-c4ccncc4)cn23)cc1,O=C(NC1CC1)C1=CC=C(C2=CN=C3C(NCCCO)=NC(C4=CC=NC=C4)=CN23)C=C1,UGHOHMIUFMSBIC-UHFFFAOYSA-N,1
241,TTK_0517,N#CCCNc1nc(-c2cccc(CC(N)=O)c2)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,N#CCCNC1=NC(C2=CC=CC(CC(N)=O)=C2)=CN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C12,IAGYWVUIFQWFJN-UHFFFAOYSA-N,1
242,TTK_0518,Cc1ccc(-c2cn3c(-c4ccc(C(=O)NC5CC5)cc4)cnc3c(NCC(C)C)n2)cc1CC(N)=O,CC1=C(CC(N)=O)C=C(C2=CN3C(C4=CC=C(C(=O)NC5CC5)C=C4)=CN=C3C(NCC(C)C)=N2)C=C1,IUQLUGLNWGOKSP-UHFFFAOYSA-N,1
243,TTK_0520,NC(=O)Cc1cccc(-c2cn3c(-c4ccc(C(=O)NC5CC5)cc4)cnc3c(NCCCO)n2)c1,NC(=O)CC1=CC(C2=CN3C(C4=CC=C(C(=O)NC5CC5)C=C4)=CN=C3C(NCCCO)=N2)=CC=C1,ZXDFHWXPLJNHQT-UHFFFAOYSA-N,1
244,TTK_0521,CC(C)(O)CNc1nc(-c2ccncc2)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,CC(C)(O)CNC1=NC(C2=CC=NC=C2)=CN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C12,MQARUTKWEDFLGN-UHFFFAOYSA-N,1
245,TTK_0522,CC(C)(O)CNc1nc(-c2cccc(CC(N)=O)c2)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,CC(C)(O)CNC1=NC(C2=CC=CC(CC(N)=O)=C2)=CN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C12,BRXLAKYYEUPFAY-UHFFFAOYSA-N,1
246,TTK_0523,Cn1nccc1CNc1nc(-c2cccc(CC(N)=O)c2)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,CN1N=CC=C1CNC1=NC(C2=CC=CC(CC(N)=O)=C2)=CN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C12,PGDLRXNQQDTDNV-UHFFFAOYSA-N,1
247,TTK_0524,Cn1cc(CNc2nc(-c3cccc(CC(N)=O)c3)cn3c(-c4ccc(C(=O)NC5CC5)cc4)cnc23)cn1,CN1C=C(CNC2=NC(C3=CC=CC(CC(N)=O)=C3)=CN3C(C4=CC=C(C(=O)NC5CC5)C=C4)=CN=C23)C=N1,VUBICEWVXWOHSF-UHFFFAOYSA-N,1
248,TTK_0525,Cn1ccc(CNc2nc(-c3cccc(CC(N)=O)c3)cn3c(-c4ccc(C(=O)NC5CC5)cc4)cnc23)n1,CN1C=CC(CNC2=NC(C3=CC=CC(CC(N)=O)=C3)=CN3C(C4=CC=C(C(=O)NC5CC5)C=C4)=CN=C23)=N1,QYYVSUBRLBNNLP-UHFFFAOYSA-N,1
249,TTK_0527,NCCCCCNc1nc(-c2cccc(CC(N)=O)c2)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,NCCCCCNC1=NC(C2=CC=CC(CC(N)=O)=C2)=CN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C12,FARMWUBPGKBBIS-UHFFFAOYSA-N,1
250,TTK_0534,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nc(-c4ccncc4)cn23)ccc1C(=O)NC1CC1,CC1=C(C(=O)NC2CC2)C=CC(C2=CN=C3C(NCCC(F)(F)F)=NC(C4=CC=NC=C4)=CN23)=C1,OERQOCHBHPVFDA-UHFFFAOYSA-N,1
251,TTK_0538,O=C(NC1CC1)c1ccc(-c2cnc3c(NCc4cccs4)nc(-c4ccncc4)cn23)cc1,O=C(NC1CC1)C1=CC=C(C2=CN=C3C(NCC4=CC=CS4)=NC(C4=CC=NC=C4)=CN23)C=C1,HWYWRWHEKXUQLF-UHFFFAOYSA-N,1
