SMILES,Name,Aromatic_SMILES,Kekulized_SMILES,InChiKey
Cc1ccc(c(c1)Br)OCC(=O)NNC(=S)NC(=O)COc2cccc3c2cccc3,Decoys_0011,Cc1ccc(OCC(=O)NNC(=S)NC(=O)COc2cccc3ccccc23)c(Br)c1,CC1=CC=C(OCC(=O)NNC(=S)NC(=O)COC2=CC=CC3=C2C=CC=C3)C(Br)=C1,LCBBYCHLJDYGPC-UHFFFAOYSA-N
CC[C@H](C)NC(=O)[C@H](CCSC)NC(=O)[C@@H]1Cc2c3ccccc3[nH]c2[C@@H]4N1C(=O)c5c4cccc5,Decoys_0012,CC[C@H](C)NC(=O)[C@H](CCSC)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@H]2c3ccccc3C(=O)N12,CC[C@H](C)NC(=O)[C@H](CCSC)NC(=O)[C@@H]1CC2=C(NC3=CC=CC=C32)[C@H]2C3=C(C=CC=C3)C(=O)N12,DJHDQVLTJNRSES-VYRLLOQTSA-N
CCOc1ccc(cc1)/C=C/C(=O)NC(=S)NNC(=O)COc2ccc(cc2Br)C(C)C,Decoys_0013,CCOc1ccc(/C=C/C(=O)NC(=S)NNC(=O)COc2ccc(C(C)C)cc2Br)cc1,CCOC1=CC=C(/C=C/C(=O)NC(=S)NNC(=O)COC2=CC=C(C(C)C)C=C2Br)C=C1,HPRWXWJIEKAUHO-KPKJPENVSA-N
CCOc1ccc(cc1)/C=C/C(=O)NC(=S)NNC(=O)COc2ccc(cc2Br)Cl,Decoys_0014,CCOc1ccc(/C=C/C(=O)NC(=S)NNC(=O)COc2ccc(Cl)cc2Br)cc1,CCOC1=CC=C(/C=C/C(=O)NC(=S)NNC(=O)COC2=CC=C(Cl)C=C2Br)C=C1,HUBPKSNNBOVBTQ-BJMVGYQFSA-N
Cc1ccc(c(c1)C)OCc2nnc(n2C)SCC(=O)Nc3c(c4c(s3)C[C@H](CC4)C)C(=O)N,Decoys_0015,Cc1ccc(OCc2nnc(SCC(=O)Nc3sc4c(c3C(N)=O)CC[C@H](C)C4)n2C)c(C)c1,CC1=CC=C(OCC2=NN=C(SCC(=O)NC3=C(C(N)=O)C4=C(C[C@@H](C)CC4)S3)N2C)C(C)=C1,IZKSROKRSOVYBM-AWEZNQCLSA-N
COCCCN(c1c(n(c(=O)[nH]c1=O)Cc2ccccc2)N)C(=O)c3c(c4ccccc4s3)Cl,Decoys_0016,COCCCN(C(=O)c1sc2ccccc2c1Cl)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O,COCCCN(C(=O)C1=C(Cl)C2=CC=CC=C2S1)C1=C(N)N(CC2=CC=CC=C2)C(=O)NC1=O,SKLYJICKEJDVHX-UHFFFAOYSA-N
Cc1ccc(c(c1)C)OCC(=O)NNC(=S)NC(=O)c2ccc(c(c2)Br)OC(C)C,Decoys_0017,Cc1ccc(OCC(=O)NNC(=S)NC(=O)c2ccc(OC(C)C)c(Br)c2)c(C)c1,CC1=CC=C(OCC(=O)NNC(=S)NC(=O)C2=CC=C(OC(C)C)C(Br)=C2)C(C)=C1,GIHWTKUSVWYPNS-UHFFFAOYSA-N
c1ccc(c(c1)C(F)(F)F)NC(=O)CCCCCN2C(=O)/C(=C/c3ccc(cc3O)O)/SC2=S,Decoys_0018,O=C(CCCCCN1C(=O)/C(=C/c2ccc(O)cc2O)SC1=S)Nc1ccccc1C(F)(F)F,O=C(CCCCCN1C(=O)/C(=C/C2=CC=C(O)C=C2O)SC1=S)NC1=CC=CC=C1C(F)(F)F,UFPIXHPZQALCCL-UNOMPAQXSA-N
CSCC[C@H](C(=O)NC[C@@H](c1ccccc1Cl)c2c[nH]c3c2cccc3)NC(=O)c4ccco4,Decoys_0019,CSCC[C@@H](NC(=O)c1ccco1)C(=O)NC[C@@H](c1ccccc1Cl)c1c[nH]c2ccccc12,CSCC[C@@H](NC(=O)C1=CC=CO1)C(=O)NC[C@@H](C1=CC=CC=C1Cl)C1=CNC2=C1C=CC=C2,ODGZFVKSUUVMEO-WMZHIEFXSA-N
CSCC[C@@H](C(=O)NC[C@H](c1ccccc1Cl)c2c[nH]c3c2cccc3)NC(=O)c4ccco4,Decoys_0020,CSCC[C@H](NC(=O)c1ccco1)C(=O)NC[C@H](c1ccccc1Cl)c1c[nH]c2ccccc12,CSCC[C@H](NC(=O)C1=CC=CO1)C(=O)NC[C@H](C1=CC=CC=C1Cl)C1=CNC2=C1C=CC=C2,ODGZFVKSUUVMEO-XXBNENTESA-N
