  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.611            0      473.534       65.408      155.334
        1        0.789        5.541            0      471.110       43.415      160.934
        2        0.879        5.478            0      465.072       57.322      160.686
        3        0.736        5.479            0      468.561       62.172      149.916
        4        0.579        5.506            0      471.433       64.986      154.976
        5        0.836        5.445            0      468.075       64.044      155.455
        6        0.789        5.580            0      471.144       60.509      155.871
        7        0.699        5.534            0      470.908       70.687      155.245
        8        0.780        5.583            0      472.284       72.252      148.146
        9        0.725        5.590            0      472.222       63.022      149.340
       10        0.731        5.520            0      470.990       62.483      156.339
       11        0.908        5.543            0      470.462       57.761      153.852
       12        0.672        5.514            0      466.361       54.496      154.785
       13        0.899        5.545            0      471.350       52.097      155.561
       14        0.813        5.534            0      465.740       52.936      157.718
       15        0.843        5.573            0      468.087       56.223      145.051
       16        0.725        5.497            0      464.613       81.122      154.115
       17        0.759        5.524            0      469.484       64.436      145.379
       18        0.831        5.395            0      464.891       82.765      158.126
       19        0.890        5.604            0      473.430       99.115      143.473
       20        0.942        5.525            0      472.309       84.447      152.963
       21        1.152        5.471            0      470.181      104.096      150.773
       22        1.107        5.412            0      467.663       69.003      153.815
       23        1.084        5.423            0      474.607       76.549      151.551
       24        1.066        5.477            0      467.412       90.799      160.851
       25        0.976        5.484            0      470.043       87.347      153.795
       26        0.808        5.570            0      468.232       63.139      154.402
       27        0.649        5.525            0      469.671       84.208      156.536
       28        0.658        5.566            0      473.145       77.657      155.980
       29        0.837        5.483            0      467.648       82.510      156.519
       30        0.750        5.566            0      473.680       98.906      151.919
       31        0.737        5.537            0      467.079       72.038      149.519
       32        0.747        5.583            0      474.596       90.469      152.707
       33        0.747        5.411            0      468.278       64.575      148.268
       34        0.784        5.539            0      470.614       66.621      156.250
       35        0.666        5.591            0      467.363       81.606      152.273
       36        0.628        5.535            0      465.167       74.611      152.079
       37        0.764        5.541            0      467.943       79.690      154.456
       38        0.668        5.490            0      466.971       82.053      149.054
       39        0.759        5.507            0      466.316       57.081      153.162
       40        0.710        5.572            0      469.623       83.916      151.389
       41        0.780        5.516            0      469.039       72.222      147.553
       42        0.770        5.577            0      469.420       83.659      155.140
       43        0.849        5.454            0      467.211       81.356      150.974
       44        0.859        5.525            0      471.666       78.552      152.598
       45        0.920        5.551            0      468.031       76.685      152.966
       46        0.801        5.537            0      470.292       91.310      159.857
       47        0.853        5.480            0      465.216       71.509      150.922
       48        0.940        5.585            0      466.750       84.820      155.254
       49        0.909        5.389            0      459.993       91.982      151.384
       50        0.857        5.509            0      465.654       77.340      150.211
       51        0.859        5.502            0      467.880       65.445      155.361
       52        0.740        5.529            0      468.639       84.043      149.112
       53        0.806        5.437            0      470.686       71.052      152.723
       54        0.847        5.479            0      470.371       76.111      158.532
       55        0.776        5.512            0      467.048       68.767      156.516
       56        0.873        5.546            0      469.605       78.878      153.366
       57        0.847        5.535            0      470.937       76.727      157.645
       58        0.940        5.520            0      470.969       74.881      154.084
       59        0.736        5.453            0      469.349       83.300      152.386
       60        0.696        5.584            0      472.956       97.090      151.366
       61        0.747        5.600            0      471.847       79.497      153.582
       62        0.865        5.474            0      464.695       68.161      153.085
       63        0.826        5.521            0      465.928       83.933      154.659
       64        0.695        5.600            0      471.121       63.327      150.265
       65        0.884        5.490            0      465.632       88.185      154.541
       66        0.816        5.521            0      466.942      115.248      152.040
       67        0.810        5.516            0      463.579       71.290      151.120
       68        0.747        5.632            0      471.326       95.397      151.133
       69        0.850        5.558            0      467.036       69.252      157.164
       70        0.905        5.563            0      465.141       75.981      142.052
       71        0.746        5.509            0      465.354       85.579      148.414
       72        0.785        5.498            0      467.285       76.275      159.065
       73        0.720        5.571            0      467.257       57.287      148.672
       74        0.818        5.511            0      463.010       81.465      152.379
       75        0.891        5.508            0      469.234       76.495      148.350
       76        0.754        5.581            0      470.024       90.424      149.782
       77        1.051        5.476            0      468.378      101.396      158.490
       78        0.880        5.464            0      470.989      102.244      159.002
       79        0.862        5.534            0      461.220      117.949      155.784
       80        0.865        5.427            0      468.094      115.633      149.272
       81        0.762        5.531            0      468.208      123.697      155.267
       82        0.863        5.538            0      465.497       83.122      157.778
       83        0.728        5.554            0      467.806       91.228      151.682
       84        0.786        5.476            0      466.671       99.009      146.869
       85        0.803        5.467            0      469.086      109.424      152.095
       86        0.750        5.551            0      465.252      108.624      149.435
       87        0.760        5.449            0      462.857      110.938      156.133
