   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   0.684        0.390
         2                   0.584        0.221
         3                   0.589        0.234
         4                   0.575        0.203
         5                   0.589        0.236
         6                   0.613        0.329
         7                   0.647        0.366
         8                   0.650        0.303
         9                   0.713        0.348
        10                   0.778        0.465
        11                   0.873        0.557
        12                   0.943        0.444
        13                   1.378        1.036
        14                   1.217        0.603
        15                   2.043        1.657
        16                   1.639        1.179
        17                   1.484        1.141
        18                   0.760        0.342
        19                   0.745        0.303
        20                   0.831        0.350
        21                   0.822        0.279
        22                   1.398        1.120
        23                   1.435        1.149
        24                   0.953        0.474
        25                   1.324        1.081
        26                   1.256        1.021
        27                   0.682        0.273
        28                   0.628        0.246
        29                   0.633        0.279
        30                   0.641        0.271
        31                   0.584        0.184
        32                   0.612        0.222
        33                   0.688        0.348
        34                   0.640        0.286
        35                   0.691        0.371
        36                   0.999        0.697
        37                   0.834        0.651
