   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   0.912        0.504
         2                   0.721        0.274
         3                   0.706        0.306
         4                   0.656        0.224
         5                   0.660        0.255
         6                   0.672        0.345
         7                   0.711        0.379
         8                   0.730        0.319
         9                   0.812        0.364
        10                   0.873        0.481
        11                   0.997        0.587
        12                   1.006        0.444
        13                   1.468        1.032
        14                   1.293        0.637
        15                   2.061        1.706
        16                   1.737        1.188
        17                   1.532        1.164
        18                   0.892        0.358
        19                   0.891        0.315
        20                   1.022        0.367
        21                   1.051        0.300
        22                   1.705        1.112
        23                   1.786        1.131
        24                   1.226        0.479
        25                   1.270        1.051
        26                   1.205        0.981
        27                   0.807        0.282
        28                   0.717        0.261
        29                   0.774        0.360
        30                   0.808        0.379
        31                   0.710        0.214
        32                   0.759        0.256
        33                   0.876        0.415
        34                   0.787        0.332
        35                   0.873        0.468
        36                   1.068        0.806
        37                   1.039        0.797
