  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        1.291        5.338            0      462.671       68.891      152.095
      127        1.113        5.441            0      470.442       74.829      143.142
      128        1.170        5.394            0      465.354       76.782      148.721
      129        1.161        5.374            0      465.900       87.855      147.684
      130        1.176        5.305            0      465.335       61.881      153.826
      131        1.120        5.453            0      473.542       82.417      152.872
      132        1.197        5.635            0      468.387       86.996      146.981
      133        1.195        5.651            0      471.889       96.949      149.925
      134        1.111        5.554            0      469.048       88.370      145.011
      135        1.269        5.759            0      474.221      103.287      148.395
      136        1.117        5.642            0      468.726       92.657      140.199
      137        1.155        5.548            0      472.216       81.034      145.508
      138        1.233        5.697            0      473.528      101.692      139.229
      139        1.084        5.614            0      471.050       83.491      143.802
      140        1.152        5.570            0      466.475       81.150      143.510
      141        1.246        5.655            0      470.668       94.146      148.483
      142        1.237        5.366            0      464.557       66.295      153.903
      143        1.429        5.310            0      466.689       65.830      147.822
      144        1.315        5.288            0      462.148       74.754      159.212
      145        1.219        5.419            0      466.823       70.741      159.617
      146        1.208        5.630            0      467.215      110.350      150.489
      147        1.222        5.330            0      464.712       87.982      155.366
      148        1.177        5.433            0      470.854       96.537      152.586
      149        1.105        5.420            0      467.153       90.524      144.575
      150        1.081        5.500            0      472.322       92.080      154.687
      151        1.214        5.279            0      459.211       69.124      151.440
      152        1.239        5.362            0      466.410       77.024      156.395
      153        1.243        5.366            0      466.058       83.305      152.820
      154        1.205        5.631            0      468.551      102.227      151.900
      155        0.904        5.440            0      466.230       74.518      150.597
      156        0.903        5.462            0      472.044       91.934      148.740
      157        0.930        5.595            0      472.894       99.551      142.202
      158        1.017        5.547            0      467.103       93.329      147.710
      159        0.976        5.482            0      466.894      100.043      149.641
      160        1.005        5.333            0      464.235       95.670      146.887
      161        1.051        5.415            0      464.970       76.504      136.347
      162        0.962        5.411            0      469.106       89.834      153.793
      163        0.982        5.428            0      463.913       89.179      141.235
      164        0.993        5.479            0      467.774       92.857      149.336
