   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   2.803        2.579
         2                   2.251        1.849
         3                   1.612        1.113
         4                   1.314        0.498
         5                   1.428        0.420
         6                   1.372        0.492
         7                   1.618        0.762
         8                   2.217        1.702
         9                   1.926        1.525
        10                   2.474        1.779
        11                   1.360        0.927
        12                   1.208        0.807
        13                   1.084        0.328
        14                   1.010        0.500
        15                   0.923        0.410
        16                   0.932        0.747
        17                   0.874        0.662
        18                   0.811        0.283
        19                   0.774        0.236
        20                   0.879        0.481
        21                   0.905        0.544
        22                   0.774        0.317
        23                   0.818        0.421
        24                   1.114        0.795
        25                   0.902        0.616
        26                   0.962        0.715
        27                   1.284        1.106
        28                   1.107        0.927
        29                   0.865        0.303
        30                   0.894        0.330
        31                   1.229        0.682
        32                   1.385        0.712
        33                   1.274        0.958
        34                   1.501        1.204
        35                   1.612        1.067
        36                   1.961        1.192
        37                   1.665        0.852
        38                   0.984        0.535
        39                   1.028        0.504
