  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        0.819        5.554            1      450.499      106.376      196.091
      127        0.998        5.569            1      446.702       98.360      190.911
      128        0.898        5.631            1      453.009      115.750      193.675
      129        0.951        5.636            1      453.010       94.456      188.597
      130        0.948        5.609            1      450.275      124.199      192.982
      131        0.955        5.616            1      453.156       89.147      183.933
      132        0.927        5.575            1      446.994       85.821      194.307
      133        0.868        5.593            1      452.056       81.035      190.194
      134        0.923        5.602            1      449.435       93.243      195.246
      135        0.997        5.508            1      447.436       96.693      196.066
      136        1.008        5.566            1      448.157       97.328      190.920
      137        0.908        5.593            1      448.894      100.854      184.970
      138        0.915        5.556            1      450.813       99.177      193.438
      139        0.929        5.572            1      449.454       68.793      187.188
      140        0.853        5.527            1      450.506       66.909      192.075
      141        1.040        5.588            1      450.439       86.722      196.713
      142        0.862        5.548            1      448.581       84.242      189.166
      143        1.046        5.569            1      451.336       69.100      195.395
      144        0.973        5.586            1      451.322       65.611      189.243
      145        1.096        5.565            1      449.299       80.986      192.106
      146        0.895        5.551            0      448.630       68.795      190.646
      147        1.010        5.548            1      443.429       66.566      190.199
      148        1.019        5.574            1      453.771       72.088      195.022
      149        0.852        5.545            1      450.274       59.737      192.319
      150        1.136        5.606            1      448.855       70.637      196.500
      151        1.109        5.560            1      448.718       63.896      188.988
      152        0.856        5.526            1      449.367       69.138      190.614
      153        1.249        5.574            1      450.461       52.648      188.335
      154        1.060        5.543            1      448.214       72.254      186.872
      155        1.027        5.557            1      449.051       68.733      196.581
      156        1.037        5.566            1      450.093       64.762      193.374
      157        0.952        5.548            1      447.627       76.320      191.174
      158        1.066        5.550            1      450.503       70.007      193.124
      159        1.176        5.566            1      445.133       74.591      185.654
      160        0.913        5.553            1      447.064       70.055      192.453
      161        1.024        5.563            1      452.786       71.206      195.100
      162        0.986        5.566            1      450.452       79.208      193.695
      163        1.185        5.565            1      448.250       62.746      193.439
      164        0.940        5.577            1      450.698       70.667      189.353
      165        0.873        5.558            1      451.810       63.361      197.869
      166        1.001        5.584            1      448.256       52.926      192.144
      167        1.004        5.579            1      453.117       75.100      195.133
      168        1.120        5.521            1      450.104       81.450      193.555
      169        0.957        5.528            1      451.842       70.136      187.702
      170        0.978        5.566            1      448.600       76.329      190.044
      171        1.013        5.526            1      449.420       86.959      200.858
      172        1.005        5.474            1      444.196       86.340      190.282
      173        1.102        5.546            1      451.432       94.581      194.241
      174        0.929        5.547            1      448.301       91.041      186.982
      175        0.880        5.522            1      449.952       76.657      187.410
      176        1.028        5.523            1      449.055       65.612      185.086
      177        1.003        5.511            1      449.897       56.467      192.979
      178        0.923        5.565            1      448.731       56.600      189.431
      179        1.396        5.611            1      450.007       76.553      191.039
      180        1.136        5.556            1      448.750       73.786      186.408
      181        1.522        5.567            1      448.576       68.804      190.927
      182        1.263        5.515            1      449.017       69.604      195.837
      183        1.286        5.561            1      453.612       66.459      192.263
      184        1.274        5.573            0      449.542       78.565      194.705
      185        1.367        5.547            0      449.078       81.206      192.581
      186        1.241        5.497            1      446.615       66.339      196.785
      187        1.128        5.599            1      452.960       87.263      196.722
      188        1.338        5.549            1      448.307       74.943      190.723
      189        1.326        5.541            1      445.973       74.751      186.839
      190        1.202        5.517            1      449.982       73.617      190.448
      191        1.192        5.608            1      448.696       91.466      188.374
      192        1.270        5.533            1      444.193       94.295      195.308
      193        1.418        5.550            1      448.721       81.697      189.293
      194        1.283        5.593            1      451.540      111.913      195.310
      195        1.157        5.609            1      450.779       88.994      196.929
      196        1.233        5.586            1      448.432       89.780      190.114
      197        1.201        5.617            1      449.984       93.353      186.695
      198        1.101        5.589            1      449.181       92.347      193.647
      199        1.242        5.592            1      449.134      100.249      185.174
      200        1.341        5.582            1      447.451       92.275      187.700
      201        1.140        5.555            1      447.801      113.632      191.407
      202        1.093        5.618            1      453.925      105.797      192.465
      203        1.261        5.613            0      448.197       83.769      190.730
      204        1.199        5.589            0      447.424       72.281      200.404
      205        1.102        5.610            1      450.704       99.043      187.170
      206        1.138        5.533            1      450.738       72.314      183.373
      207        1.197        5.565            1      450.032       97.849      189.449
      208        1.175        5.629            1      453.270       83.397      196.036
      209        1.075        5.608            1      451.391      103.462      185.209
      210        1.223        5.578            0      450.013       89.198      190.033
      211        1.091        5.632            1      450.949      121.113      189.593
      212        0.937        5.611            1      449.894      130.308      194.779
      213        0.974        5.623            1      450.235      121.881      189.934
      214        1.081        5.590            1      448.950      119.765      190.159
      215        1.171        5.607            1      451.219      132.406      197.042
      216        1.099        5.612            1      450.462      121.563      194.561
      217        1.375        5.571            1      448.149      130.768      190.844
      218        1.002        5.587            1      451.047       96.056      188.844
      219        0.738        5.622            1      452.156      125.421      191.504
      220        0.865        5.576            1      450.332       99.889      189.894
      221        0.907        5.595            1      449.302      105.390      192.204
      222        1.280        5.599            1      452.780      112.736      190.932
      223        0.893        5.573            1      446.317       94.716      195.065
      224        0.805        5.647            1      452.224       86.729      187.120
      225        0.803        5.595            1      452.066      100.136      189.014
      226        1.198        5.556            1      447.224       95.285      186.458
      227        1.170        5.595            1      450.035       86.091      195.082
      228        0.885        5.629            1      450.520       85.735      192.562
      229        1.013        5.609            1      449.289       88.531      191.378
      230        1.004        5.596            1      450.838       80.813      192.119
      231        1.233        5.648            1      454.261       65.506      194.832
      232        0.954        5.597            1      450.768       92.132      194.091
      233        1.012        5.566            1      450.803       69.219      191.961
      234        0.980        5.604            1      449.705       80.009      192.589
      235        0.851        5.520            1      448.823       99.566      190.519
      236        0.985        5.612            1      449.526       90.717      193.571
      237        0.886        5.529            1      445.880       93.546      195.194
      238        0.706        5.572            1      446.959      101.068      185.954
      239        0.613        5.528            1      445.787       92.174      192.628
      240        1.014        5.566            1      448.761       81.936      191.069
