   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   3.688        2.876
         2                   2.802        1.798
         3                   1.945        0.786
         4                   1.734        0.784
         5                   1.185        0.408
         6                   1.041        0.554
         7                   0.944        0.421
         8                   0.833        0.387
         9                   0.813        0.531
        10                   0.894        0.690
        11                   0.779        0.530
        12                   0.766        0.386
        13                   0.817        0.409
        14                   0.863        0.350
        15                   1.011        0.479
        16                   1.772        1.317
        17                   0.931        0.736
        18                   1.031        0.910
        19                   1.434        1.349
        20                   1.221        1.257
        21                   0.878        0.352
        22                   0.859        0.325
        23                   0.793        0.303
        24                   1.044        0.415
        25                   1.129        0.579
        26                   1.269        0.695
        27                   1.341        0.696
        28                   1.331        0.667
        29                   1.185        0.532
        30                   1.616        1.353
        31                   1.813        1.359
        32                   1.679        0.395
        33                   2.057        0.616
        34                   2.499        1.300
        35                   2.483        1.405
        36                   2.455        1.363
