  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.612            0      475.740       52.556      151.029
        1        0.892        5.626            0      470.769       23.845      139.823
        2        0.877        5.506            0      465.565       30.250      146.181
        3        0.814        5.546            0      467.988       36.030      149.037
        4        0.741        5.530            0      471.826       27.353      142.631
        5        0.863        5.556            0      463.393       39.320      149.713
        6        0.930        5.631            0      469.020       59.346      153.524
        7        0.801        5.477            0      467.075       35.883      154.290
        8        0.824        5.605            0      469.651       33.918      148.511
        9        0.837        5.590            0      474.766       50.178      146.994
       10        0.810        5.521            0      470.906       51.243      148.217
       11        0.820        5.618            0      470.406       52.029      149.114
       12        0.780        5.589            0      476.103       57.975      148.744
       13        0.774        5.564            0      469.535       54.237      145.362
       14        0.847        5.532            0      467.491       47.905      142.102
       15        0.806        5.659            0      471.131       50.316      148.413
       16        0.794        5.543            0      472.100       51.451      142.083
       17        0.826        5.497            0      471.583       46.786      144.918
       18        0.795        5.461            0      466.778       44.401      152.059
       19        0.836        5.493            0      466.126       50.422      142.449
       20        0.861        5.536            0      469.264       49.280      145.003
       21        0.929        5.602            0      469.556       65.570      148.128
       22        0.797        5.547            0      468.228       46.240      148.754
       23        0.903        5.566            0      466.762       36.686      141.936
       24        0.834        5.570            0      473.319       52.143      140.609
       25        0.814        5.588            0      472.740       56.677      146.278
       26        0.904        5.608            0      467.951       43.467      148.050
       27        0.812        5.477            0      469.974       49.414      147.519
       28        0.923        5.548            0      467.927       52.690      147.666
       29        0.921        5.583            0      471.373       57.408      149.485
       30        0.798        5.532            0      468.807       48.604      143.475
       31        0.851        5.552            0      468.357       50.704      143.939
       32        0.838        5.507            0      466.656       47.088      139.528
       33        0.833        5.512            0      472.075       72.599      143.391
       34        0.873        5.580            0      476.790       52.171      145.774
       35        0.819        5.568            0      469.522       57.832      143.165
       36        0.852        5.587            0      467.624       49.671      149.270
       37        0.931        5.544            0      467.385       43.795      150.584
       38        0.896        5.500            0      466.495       36.459      140.378
       39        0.865        5.570            0      468.605       41.262      146.040
       40        1.186        5.542            0      468.198       71.217      146.704
       41        1.191        5.734            0      472.908       85.523      157.232
       42        1.119        5.730            0      476.054       94.182      148.138
       43        1.133        5.669            0      471.637       67.117      143.342
       44        1.179        5.688            0      468.232       91.016      153.143
       45        1.141        5.694            0      471.405       97.148      149.201
       46        1.260        5.692            0      468.777       97.959      145.790
       47        1.256        5.663            0      469.082       78.475      141.145
       48        1.177        5.662            0      472.507       79.250      143.664
       49        1.048        5.617            0      473.507       75.805      142.335
       50        1.172        5.729            0      474.950       75.048      147.466
       51        1.273        5.596            0      463.958       73.655      143.032
       52        1.034        5.696            0      474.954       88.676      156.443
       53        1.117        5.718            0      472.269       83.741      154.440
       54        1.124        5.649            0      468.751       86.781      151.174
       55        1.117        5.722            0      477.813      119.017      147.079
       56        1.135        5.644            0      468.563      104.106      148.236
       57        1.081        5.763            0      478.155      104.866      151.807
       58        1.147        5.658            0      476.700       82.803      145.322
       59        1.200        5.701            0      472.201       97.848      144.053
       60        1.169        5.725            0      475.292      106.813      147.336
       61        1.318        5.743            0      469.510      108.743      148.122
       62        1.165        5.720            0      470.444      102.132      145.705
       63        1.143        5.674            0      473.908       94.168      142.932
       64        1.193        5.733            0      476.900       83.620      145.519
       65        0.820        5.452            0      469.024       87.500      151.784
       66        0.834        5.406            0      462.943       80.835      146.492
       67        0.886        5.438            0      469.921       77.239      144.937
       68        0.777        5.582            0      469.903       94.402      147.146
       69        0.712        5.615            0      473.607       99.160      148.458
       70        0.840        5.438            0      469.802       97.474      156.204
       71        0.666        5.498            0      467.058       90.455      152.034
