   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   1.047        0.742
         2                   1.041        0.619
         3                   1.003        0.523
         4                   1.015        0.295
         5                   1.160        0.334
         6                   1.281        0.290
         7                   1.519        0.493
         8                   2.203        1.709
         9                   1.912        1.447
        10                   2.372        1.620
        11                   1.302        0.346
        12                   1.173        0.341
        13                   1.004        0.242
        14                   0.926        0.353
        15                   0.838        0.315
        16                   0.808        0.356
        17                   0.758        0.316
        18                   0.739        0.240
        19                   0.709        0.204
        20                   0.754        0.295
        21                   0.758        0.310
        22                   0.709        0.215
        23                   0.746        0.296
        24                   1.029        0.798
        25                   0.918        0.552
        26                   0.998        0.673
        27                   1.114        0.891
        28                   1.039        0.861
        29                   0.722        0.270
        30                   0.723        0.268
        31                   0.824        0.452
        32                   0.910        0.529
        33                   1.384        0.984
        34                   1.560        1.173
        35                   1.568        1.108
        36                   1.577        1.279
        37                   1.119        0.748
        38                   0.809        0.314
        39                   0.854        0.342
