  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.524            1      449.567       59.026      190.649
        1        0.334        5.487            1      445.988       44.899      186.835
        2        0.797        5.590            1      449.640       84.977      195.553
        3        0.449        5.495            1      446.557       51.901      182.048
        4        0.622        5.519            1      449.820       70.251      185.662
        5        0.552        5.581            1      448.103       67.794      191.917
        6        0.659        5.582            1      449.146       63.766      193.628
        7        0.616        5.596            1      449.099       62.021      194.608
        8        0.663        5.634            1      450.851       62.499      190.820
        9        0.623        5.482            1      448.302       55.416      191.639
       10        0.566        5.606            1      454.245       40.031      188.720
       11        0.654        5.600            1      452.725       74.048      194.799
       12        0.384        5.478            0      446.464       84.976      189.628
       13        0.501        5.522            1      447.603       87.064      192.996
       14        0.619        5.472            1      444.151       83.925      192.053
       15        0.374        5.505            1      452.065       67.600      186.629
       16        0.389        5.494            1      447.228       66.775      188.115
       17        0.617        5.627            1      449.298      115.759      192.492
       18        0.847        5.662            1      453.200      100.958      188.123
       19        0.768        5.566            1      449.675      112.421      189.767
       20        0.453        5.466            1      451.939      113.724      189.661
       21        0.518        5.558            1      451.538      100.690      184.458
       22        0.554        5.521            1      449.509      122.217      190.182
       23        0.439        5.480            1      450.755       93.396      187.494
       24        0.760        5.571            1      453.087      121.926      188.312
       25        0.504        5.538            1      447.737      118.044      191.860
       26        0.364        5.566            1      447.954       97.866      183.956
       27        0.638        5.554            1      449.708      125.903      187.360
       28        0.296        5.487            1      448.338      134.619      188.625
       29        0.482        5.566            1      450.753      120.969      192.347
       30        0.588        5.583            1      451.063      105.297      185.302
       31        0.593        5.589            1      449.604      128.273      188.952
       32        0.587        5.550            1      451.268      113.675      192.033
       33        0.695        5.586            1      453.336      133.674      192.912
       34        0.398        5.491            1      447.840      108.850      188.342
       35        0.432        5.491            1      448.451      145.374      189.415
       36        0.406        5.435            0      446.444      124.485      188.399
       37        0.521        5.581            1      449.402      134.064      192.511
       38        0.453        5.520            1      449.540      106.110      189.154
       39        0.516        5.445            1      449.264      107.624      187.826
       40        0.582        5.595            1      450.217      127.558      197.661
       41        0.381        5.545            1      451.684      114.094      186.180
       42        0.387        5.474            1      449.582      137.980      184.894
       43        0.383        5.417            1      445.952      100.233      189.409
       44        0.579        5.584            1      450.469      131.044      191.211
       45        0.539        5.551            1      448.636      150.361      192.039
       46        0.653        5.580            1      447.534      140.671      188.130
       47        0.280        5.475            1      450.183      109.263      187.400
       48        0.413        5.479            1      449.617      104.860      183.875
       49        0.362        5.554            1      452.463      131.495      187.351
       50        0.462        5.497            1      448.772      108.276      192.532
       51        0.353        5.512            1      449.367      112.700      186.347
       52        0.598        5.523            1      447.626      107.708      188.763
       53        0.724        5.586            1      449.590      109.336      196.198
       54        0.430        5.481            1      448.126       92.949      190.024
       55        0.346        5.508            1      448.844      113.454      193.256
       56        0.503        5.634            1      451.068      150.947      190.345
       57        0.398        5.487            1      450.342      112.283      187.887
       58        0.457        5.561            1      451.917      150.926      187.515
       59        0.735        5.628            1      451.260      144.190      198.972
       60        0.535        5.578            1      450.135      133.098      185.623
       61        0.693        5.575            1      450.150       96.698      193.623
       62        0.497        5.480            1      448.488       82.411      189.394
       63        0.541        5.555            1      449.469      121.904      187.471
       64        0.609        5.604            1      449.104       94.312      187.249
       65        0.420        5.542            1      452.496       90.314      187.295
       66        0.420        5.419            1      445.206      100.222      180.300
       67        0.470        5.491            1      447.758      113.342      188.030
       68        0.528        5.585            1      449.049      100.776      192.588
       69        0.499        5.530            1      446.128       94.910      196.011
       70        0.381        5.475            0      446.475       95.862      187.223
       71        0.400        5.549            1      452.116      139.403      188.719
       72        0.702        5.567            1      448.693      123.783      186.347
       73        0.379        5.576            1      451.956      102.438      184.862
       74        0.570        5.577            1      450.063       93.796      192.121
       75        0.471        5.582            1      454.743      125.975      189.752
       76        0.576        5.529            1      447.742      107.892      194.655
       77        0.534        5.506            1      449.356       94.661      187.282
       78        0.339        5.473            1      448.089      110.442      184.596
       79        0.469        5.530            1      450.469      108.803      190.399
       80        0.471        5.577            1      453.257      111.772      188.740
       81        0.382        5.469            1      449.856       88.968      187.358
       82        0.449        5.484            1      447.016      101.322      190.141
       83        0.579        5.583            1      450.660      120.183      189.705
       84        0.350        5.486            1      447.654       83.023      187.902
       85        0.540        5.521            1      449.677       81.545      193.701
       86        0.484        5.532            1      450.040       86.029      189.788
       87        0.527        5.535            1      448.575      116.078      183.143
       88        0.824        5.649            1      448.640      131.521      193.677
       89        0.415        5.582            0      448.695       93.531      194.623
       90        0.543        5.526            1      450.405       90.328      188.874
       91        0.543        5.598            1      449.311      122.706      191.573
       92        0.345        5.540            1      451.279      109.780      189.157
       93        0.353        5.511            1      451.013      143.278      191.138
       94        0.441        5.615            1      453.944      119.033      188.748
       95        0.404        5.560            1      448.661      111.843      190.749
       96        0.450        5.515            1      450.150       96.602      190.659
       97        0.508        5.569            1      450.252      104.783      185.258
       98        0.476        5.500            1      448.045      110.003      191.954
       99        0.422        5.517            1      448.810       85.376      187.883
      100        0.484        5.476            1      448.042      105.373      188.219
      101        0.425        5.495            1      447.142      106.451      188.743
      102        0.436        5.574            1      449.273      125.250      187.950
      103        0.478        5.489            1      448.302      122.750      192.476
      104        0.349        5.426            1      447.330       87.309      185.148
      105        0.327        5.479            1      451.634       98.862      187.190
      106        0.746        5.611            1      449.041      125.733      186.704
      107        0.401        5.472            1      450.582      116.866      187.110
      108        0.399        5.540            1      450.183      102.985      190.875
      109        0.439        5.539            1      450.326      104.945      189.619
      110        0.558        5.605            1      452.212      125.403      189.067
      111        0.374        5.535            1      449.569      111.598      189.296
