   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   0.955        0.584
         2                   0.913        0.365
         3                   0.822        0.180
         4                   0.727        0.251
         5                   0.715        0.221
         6                   0.685        0.359
         7                   0.652        0.277
         8                   0.618        0.233
         9                   0.612        0.268
        10                   0.652        0.358
        11                   0.628        0.265
        12                   0.638        0.212
        13                   0.695        0.240
        14                   0.734        0.212
        15                   0.824        0.263
        16                   0.922        0.393
        17                   0.895        0.386
        18                   1.032        0.531
        19                   1.591        1.078
        20                   1.383        1.047
        21                   0.742        0.240
        22                   0.699        0.249
        23                   0.636        0.200
        24                   0.714        0.284
        25                   0.836        0.396
        26                   0.929        0.433
        27                   0.932        0.415
        28                   0.907        0.476
        29                   0.796        0.411
        30                   0.891        0.332
        31                   1.022        0.378
        32                   0.960        0.239
        33                   1.187        0.433
        34                   1.382        0.921
        35                   1.537        0.959
        36                   1.555        0.968
